class_mAP,class_recall@1,class_recall@10,class_recall@5,dataset,identity_mean_rank,identity_median_rank,identity_recall@1,identity_recall@10,identity_recall@5,model,n_videos,perturbation,shift_mean_cosine_shift,shift_mean_cosine_similarity,shift_std_cosine_shift,shift_std_cosine_similarity
0.0749061800610992,0.15673289183222958,0.565121412803532,0.3995584988962472,ssv2_subset,51.28587196467991,8.0,0.2891832229580574,0.5386313465783664,0.4624724061810154,vjepa,906,blur,0.3442837595939636,0.6557161808013916,0.07759762555360794,0.07759762555360794
0.1252528377620726,0.331,0.757,0.63,kinetics400_subset,,,,,,dismo,1000,clean,,,,
0.08464249852723381,0.109,0.544,0.362,kinetics400_subset,36.916,6.0,0.271,0.601,0.486,dismo,1000,frame_repeat,0.6933154463768005,0.3066845238208771,0.3544836938381195,0.3544836938381195
0.09543857094819558,0.21,0.625,0.472,kinetics400_subset,43.491,5.0,0.354,0.575,0.512,dismo,1000,shuffle,0.4247763752937317,0.5752236247062683,0.21167704463005066,0.21167704463005066
0.1224762867948595,0.304,0.731,0.604,kinetics400_subset,25.83,1.0,0.801,0.88,0.856,dismo,1000,reverse,0.19381408393383026,0.8061859011650085,0.2204383909702301,0.2204383909702301
0.11413573471234428,0.268,0.735,0.589,kinetics400_subset,1.045,1.0,0.985,0.998,0.997,dismo,1000,blur,0.20253774523735046,0.7974622249603271,0.08661016821861267,0.08661016821861267
0.15451663432627144,0.3852097130242826,0.7693156732891833,0.6655629139072847,ssv2_subset,,,,,,dismo,906,clean,,,,
0.06156572136613237,0.08498896247240618,0.4260485651214128,0.2792494481236203,ssv2_subset,39.188741721854306,5.0,0.3333333333333333,0.5916114790286976,0.5033112582781457,dismo,906,frame_repeat,0.3482814133167267,0.6517186164855957,0.17455333471298218,0.17455333471298218
0.0758246295827808,0.10816777041942605,0.3675496688741722,0.2582781456953642,ssv2_subset,134.1523178807947,61.0,0.10044150110375276,0.24944812362030905,0.18763796909492272,dismo,906,shuffle,0.475276380777359,0.5247235894203186,0.20680846273899078,0.20680846273899078
0.10730833156411115,0.26600441501103755,0.6501103752759382,0.5364238410596026,ssv2_subset,68.66556291390728,1.0,0.6622516556291391,0.7935982339955849,0.7615894039735099,dismo,906,reverse,0.16106203198432922,0.8389379978179932,0.17533621191978455,0.17533621191978455
0.1503744518557299,0.3355408388520971,0.7362030905077263,0.6070640176600441,ssv2_subset,1.0452538631346577,1.0,0.9834437086092715,1.0,0.9977924944812362,dismo,906,blur,0.12259507179260254,0.877405047416687,0.03736606240272522,0.03736606240272522
